url_or_pattern,score_0_100,action,priority,confidence,reason
/,88,KEEP_AND_IMPROVE,P1,HIGH,"Strong localized commercial hub; production deployment not verified"
/countries,78,IMPROVE,P2,HIGH,"Useful discovery layer; verify all country children are linked"
/{greece|spain|italy|portugal|cyprus|turkey},84,KEEP_AND_IMPROVE,P1,HIGH,"Guide and commercial hub combined; localized guide overlays added"
/airports,82,KEEP_AND_IMPROVE,P1,HIGH,"Prevents orphan airport pages; large directory needs crawl QA"
/airports/{authored-or-hub-slug},86,KEEP_AND_IMPROVE,P1,HIGH,"Rich airport facts, routes, FAQs and booking mode"
/airports/{generated-in-market-slug},68,INVESTIGATE,P1,HIGH,"Native quote-safe template added; page still depends on generated local value"
/airports/{airport}/{route},90,KEEP,P1,HIGH,"Exact route intent, operational arrival facts and booking CTA"
/routes,80,KEEP_AND_IMPROVE,P1,HIGH,"Useful fixed-price corridor directory"
/routes/{slug},88,KEEP,P1,HIGH,"Corridor planning intent now cross-linked to airport-arrival counterpart"
/ports,76,IMPROVE,P2,HIGH,"Complete discovery path; generated pricing assumptions need sampling"
/ports/{slug},72,INVESTIGATE,P1,HIGH,"Useful port/airport relationships; local operational details vary"
/cities,75,IMPROVE,P2,HIGH,"Useful directory with broad market coverage"
/cities/{slug},65,INVESTIGATE,P1,HIGH,"Good links but template-led destination prose"
/regions,76,KEEP_AND_IMPROVE,P2,HIGH,"Clear Crete hierarchy"
/regions/{slug},80,KEEP_AND_IMPROVE,P2,HIGH,"Regional context and route links"
/services,82,KEEP,P2,HIGH,"Clear service discovery"
/services/{slug},84,KEEP_AND_IMPROVE,P1,HIGH,"Distinct commercial intent and proof sections"
/hourly-service,79,KEEP_AND_IMPROVE,P2,HIGH,"Distinct service intent; validate demand"
/city-to-city,79,KEEP_AND_IMPROVE,P2,HIGH,"Distinct service intent; validate demand"
/fleet,78,KEEP_AND_IMPROVE,P2,HIGH,"Vehicle-selection support"
/fleet/{class},74,IMPROVE,P2,HIGH,"Capacity intent; avoid thin repeated copy"
/blog,74,KEEP_AND_IMPROVE,P2,HIGH,"Six expert-attributed guides"
/blog/{slug},82,KEEP_AND_REFRESH,P1,HIGH,"Contextual money-page links added; factual sourcing still incomplete"
/about,85,KEEP,P1,HIGH,"Marketplace and Crete operating model clarified"
/how-it-works,82,KEEP,P2,HIGH,"Supports conversion and expectation setting"
/faq,84,KEEP,P1,HIGH,"Visible-content-backed FAQPage schema added"
/contact,80,KEEP,P2,HIGH,"Contact paths and form instrumentation present"
/legal/imprint,70,VERIFY_ENTITY_DATA,P1,HIGH,"Placeholder phone and registration TODO removed; remaining entity details require owner confirmation"
/touristas-ai,60,NOINDEX_UTILITY,P2,HIGH,"Broken target fixed; intentionally excluded from search"
/{book|login|signup|account|driver|partner|ops}/*,100,KEEP_PRIVATE,P0,HIGH,"Correctly excluded from organic indexation"
/{nl|es}/*,78,HOLD_NOINDEX_UNTIL_NATIVE_QA,P1,HIGH,"Long-form localization implemented; human route-by-route sign-off still required"
